index,name,cnpj,status,participation
110, Pagueveloz Serviços de Pagamento Ltda.,03.816.413/0001-37,Em andamento,INDIRETA
111, Paraná Banco S.A.,14.388.334/0001-99,Em andamento,DIRETA
112,"Parati Crédito Financiamento e Investimento S.A.",03.311.443/0001-91,Em andamento,DIRETA
113,"Paypal do Brasil Serviços de Pagamento Ltda.",10.878.448/0001-66,Em andamento,DIRETA
114,"Pernambucanas Financiadora S.A. Crédito, Financimento e Investimento",43.180.355/0001-12,Em andamento,DIRETA
115, Picpay Serviços S.A.,22.896.431/0001-10,Em andamento,DIRETA
116,"Pinkbank Brasil - Pagamentos Inteligentes
S.A.",17.079.937/0001-05,Em andamento,INDIRETA
117, PJBank Pagamentos S.A.,18.191.228/0001-71,Em andamento,INDIRETA
118, Plural S.A. Banco Múltiplo,45.246.410/0001-55,Em andamento,DIRETA
119, "Polocred Sociedade de Crédito ao Microempreendedor e à Empresa de Pequeno Porte Ltda.",07.945.233/0001-06,Em andamento,DIRETA
120,"NK 061 Empreendimentos e Participações S.A.",34.878.543/0001-28,Em andamento,INDIRETA
121, Recargapay Pagamentos Ltda.,11.275.560/0001-75,Em andamento,INDIRETA
122, RoadPass Payments & Urban Mobility Ltda.,25.104.230/0001-21,Em andamento,INDIRETA
123,"SENFF S.A. - Crédito, Financiamento e Investimento",11.970.623/0001-03,Em andamento,DIRETA
124, Serveloja Administradora de Créditos Ltda.,10.773.370/0001-15,Em andamento,INDIRETA
125, Sol e Mar Instituição de Pagamentos Ltda.,35.210.425/0001-00,Em andamento,INDIRETA
126, Spin Pay Serviços de Pagamentos Ltda.,32.219.232/0001-21,Em andamento,INDIRETA
127, Stone Pagamentos S.A.,16.501.555/0001-57,Em andamento,DIRETA
128,"Super Pagamentos e Administração de Meios Eletrônicos S.A.",09.554.480/0001-07,Em andamento,DIRETA
129, Teto Pagamentos S.A.,34.405.074/0001-20,Em andamento,INDIRETA
130,"Trampolin Serviços de Intermediação e Tecnologia Ltda.",33.030.337/0001-09,Em andamento,INDIRETA
131, Transfeera Serviços de Pagamentos Ltda.,27.084.098/0001-69,Em andamento,INDIRETA
132, Travelex Banco de Câmbio S.A.,11.703.662/0001-44,Em andamento,DIRETA
133, TVPay Instituição de Pagamentos Ltda.,35.210.436/0001-90,Em andamento,INDIRETA
134, U4Crypto Soluções Tecnológicas e Financeiras S.A.,30.980.539/0001-15,Em andamento,INDIRETA
135, Uniprime Central - Central Interestadual de Cooperativas de Crédito Ltda.,03.046.391/0001-73,Em andamento,DIRETA
136,"Uniprime Norte do Paraná - Cooperativa de Crédito Ltda.",02.398.976/0001-90,Em andamento,DIRETA
137, Valepay Brasil Ltda.,28.220.872/0001-84,Em andamento,INDIRETA
138,"XCloud Brasil Intermediação e Agenciamento de Negócios Ltda.",23.010.551/0001-31,Em andamento,INDIRETA
139, XPAGO SOLUCOES EM PAGAMENTOS LTDA. 30.354.551/0001-14,Em andamento,INDIRETA
140, Zema CFI S.A.,05.351.887/0001-86,Em andamento,DIRETA
